500,0.86,0.86,0.86
500,0.89,0.9,0.89
500,0.85,0.84,0.85
500,0.9,0.9,0.9
500,0.82,0.86,0.78
500,0.88,0.86,0.9
500,0.88,0.91,0.84
500,0.85,0.87,0.83
500,0.87,0.87,0.86
500,0.86,0.87,0.86
500,0.86,0.87,0.85
500,0.85,0.86,0.84
500,0.88,0.91,0.85
500,0.82,0.81,0.84
500,0.87,0.9,0.84
500,0.85,0.87,0.83
500,0.88,0.9,0.85
500,0.88,0.87,0.89
500,0.89,0.9,0.88
500,0.88,0.91,0.85
500,0.86,0.86,0.85
500,0.86,0.85,0.88
500,0.88,0.87,0.89
500,0.88,0.89,0.87
500,0.85,0.86,0.84
500,0.86,0.87,0.86
500,0.86,0.89,0.83
500,0.84,0.89,0.8
500,0.86,0.89,0.82
500,0.86,0.84,0.88
500,0.87,0.84,0.9
500,0.86,0.89,0.84
500,0.85,0.87,0.82
500,0.91,0.93,0.88
500,0.9,0.92,0.89
500,0.85,0.84,0.86
500,0.86,0.84,0.87
500,0.88,0.91,0.84
500,0.87,0.88,0.86
500,0.86,0.9,0.82
500,0.86,0.88,0.84
500,0.88,0.88,0.89
500,0.86,0.9,0.82
500,0.86,0.88,0.84
500,0.87,0.88,0.86
500,0.86,0.87,0.86
500,0.89,0.9,0.88
500,0.81,0.8,0.83
500,0.92,0.91,0.94
500,0.85,0.87,0.83
500,0.88,0.88,0.88
