Training Size,Average Accuracy,Fake Accuracy,Real Accuracy,,Training Size,Avg Total,Avg Fake Accuracy,Avg Real Accuracy
650,0.91,0.89,0.93,,,,,
650,0.85,0.84,0.86,,,,,
650,0.89,0.85,0.93,,,,,
650,0.86,0.82,0.91,,,,,
650,0.89,0.89,0.9,,,,,
650,0.87,0.89,0.86,,,,,
650,0.86,0.84,0.88,,,,,
650,0.85,0.82,0.88,,,,,
650,0.88,0.84,0.92,,,,,
650,0.87,0.88,0.87,,,,,
650,0.9,0.87,0.92,,,,,
650,0.88,0.85,0.9,,,,,
650,0.92,0.91,0.93,,,,,
650,0.88,0.87,0.89,,,,,
650,0.85,0.85,0.84,,,,,
650,0.85,0.83,0.87,,,,,
650,0.88,0.84,0.91,,,,,
650,0.87,0.85,0.88,,,,,
650,0.88,0.84,0.91,,,,,
650,0.88,0.86,0.89,,,,,
650,0.87,0.85,0.89,,,,,
650,0.89,0.9,0.89,,,,,
650,0.88,0.86,0.9,,,,,
650,0.88,0.84,0.91,,,,,
650,0.88,0.83,0.92,,,,,
650,0.87,0.86,0.88,,,,,
650,0.88,0.87,0.89,,,,,
650,0.9,0.89,0.91,,,,,
650,0.86,0.83,0.9,,,,,
650,0.86,0.87,0.85,,,,,
650,0.88,0.82,0.94,,,,,
650,0.88,0.85,0.91,,,,,
650,0.86,0.83,0.9,,,,,
650,0.88,0.83,0.93,,,,,
650,0.88,0.87,0.9,,,,,
650,0.84,0.8,0.89,,,,,
650,0.88,0.84,0.92,,,,,
650,0.84,0.81,0.87,,,,,
650,0.89,0.85,0.92,,,,,
850,0.9,0.92,0.88,,,,,
850,0.88,0.93,0.84,,,,,
850,0.87,0.9,0.84,,,,,
850,0.91,0.92,0.91,,,,,
850,0.91,0.93,0.9,,,,,
850,0.87,0.91,0.83,,,,,
850,0.87,0.88,0.86,,,,,
850,0.91,0.92,0.91,,,,,
850,0.9,0.92,0.89,,,,,
850,0.89,0.88,0.89,,,,,
850,0.92,0.92,0.91,,,,,
850,0.89,0.91,0.86,,,,,
850,0.86,0.9,0.83,,,,,
850,0.85,0.89,0.81,,,,,
850,0.88,0.88,0.88,,,,,
850,0.88,0.89,0.86,,,,,
850,0.89,0.89,0.88,,,,,
850,0.86,0.89,0.83,,,,,
850,0.85,0.87,0.83,,,,,
850,0.87,0.89,0.85,,,,,
850,0.89,0.93,0.85,,,,,
850,0.89,0.92,0.86,,,,,
850,0.91,0.94,0.88,,,,,
850,0.88,0.91,0.85,,,,,
850,0.91,0.94,0.89,,,,,
850,0.89,0.9,0.89,,,,,
850,0.89,0.9,0.87,,,,,
850,0.87,0.88,0.85,,,,,
850,0.87,0.89,0.85,,,,,
850,0.87,0.92,0.82,,,,,
850,0.9,0.87,0.92,,,,,
850,0.87,0.88,0.86,,,,,
850,0.88,0.9,0.85,,,,,
850,0.91,0.92,0.9,,,,,
850,0.89,0.88,0.89,,,,,
850,0.87,0.88,0.86,,,,,
850,0.92,0.93,0.91,,,,,
850,0.88,0.89,0.88,,,,,
850,0.87,0.89,0.84,,,,,
850,0.86,0.87,0.85,,,,,
850,0.89,0.93,0.84,,,,,
850,0.89,0.92,0.85,,,,,
850,0.88,0.89,0.88,,,,,
850,0.9,0.9,0.89,,,,,
850,0.89,0.91,0.86,,,,,
850,0.88,0.9,0.86,,,,,
850,0.92,0.94,0.9,,,,,
850,0.87,0.88,0.86,,,,,
850,0.88,0.93,0.83,,,,,
850,0.84,0.89,0.8,,,,,
1050,0.91,0.94,0.89,,,,,
1050,0.89,0.93,0.84,,,,,
1050,0.86,0.9,0.82,,,,,
1050,0.84,0.87,0.82,,,,,
1050,0.87,0.9,0.84,,,,,
1050,0.91,0.92,0.89,,,,,
1050,0.86,0.89,0.83,,,,,
1050,0.86,0.9,0.83,,,,,
1050,0.89,0.92,0.85,,,,,
1050,0.89,0.91,0.86,,,,,
1050,0.9,0.91,0.89,,,,,
1050,0.91,0.94,0.88,,,,,
1050,0.89,0.93,0.85,,,,,
1050,0.88,0.93,0.83,,,,,
1050,0.89,0.92,0.86,,,,,
1050,0.88,0.91,0.85,,,,,
1050,0.88,0.92,0.84,,,,,
1050,0.9,0.92,0.88,,,,,
1050,0.89,0.88,0.89,,,,,
1050,0.89,0.92,0.86,,,,,
1050,0.91,0.92,0.9,,,,,
1050,0.91,0.94,0.88,,,,,
1050,0.89,0.92,0.86,,,,,
1050,0.89,0.9,0.88,,,,,
1050,0.86,0.89,0.84,,,,,
1050,0.89,0.9,0.88,,,,,
1050,0.89,0.92,0.86,,,,,
1050,0.9,0.93,0.87,,,,,
1050,0.9,0.93,0.88,,,,,
1050,0.85,0.88,0.82,,,,,
1050,0.88,0.91,0.85,,,,,
1050,0.88,0.93,0.83,,,,,
1050,0.85,0.85,0.84,,,,,
1050,0.9,0.9,0.91,,,,,
1050,0.86,0.9,0.82,,,,,
1050,0.89,0.92,0.85,,,,,
1050,0.89,0.91,0.86,,,,,
1050,0.86,0.92,0.81,,,,,
1050,0.87,0.89,0.85,,,,,
1050,0.86,0.92,0.81,,,,,
1050,0.88,0.91,0.84,,,,,
1050,0.86,0.9,0.83,,,,,
1050,0.87,0.9,0.84,,,,,
1050,0.89,0.93,0.85,,,,,
1050,0.9,0.92,0.88,,,,,
1050,0.86,0.9,0.82,,,,,
1050,0.83,0.86,0.81,,,,,
1050,0.89,0.9,0.88,,,,,
1050,0.88,0.89,0.87,,,,,
1050,0.9,0.92,0.89,,,,,
1250,0.88,0.91,0.85,,,,,
1250,0.87,0.91,0.83,,,,,
1250,0.87,0.92,0.82,,,,,
1250,0.9,0.93,0.86,,,,,
1250,0.85,0.89,0.82,,,,,
1250,0.87,0.85,0.88,,,,,
1250,0.89,0.94,0.83,,,,,
1250,0.93,0.94,0.91,,,,,
1250,0.89,0.92,0.86,,,,,
1250,0.88,0.9,0.87,,,,,
1250,0.86,0.89,0.83,,,,,
1250,0.87,0.9,0.85,,,,,
1250,0.88,0.89,0.86,,,,,
1250,0.88,0.93,0.83,,,,,
1250,0.86,0.88,0.85,,,,,
1250,0.89,0.94,0.82,,,,,
1250,0.89,0.88,0.91,,,,,
1250,0.88,0.9,0.85,,,,,
1250,0.89,0.91,0.87,,,,,
1250,0.88,0.93,0.84,,,,,
1250,0.89,0.93,0.84,,,,,
1250,0.89,0.93,0.85,,,,,
1250,0.88,0.92,0.84,,,,,
1250,0.89,0.9,0.87,,,,,
1250,0.89,0.94,0.84,,,,,
1250,0.86,0.87,0.85,,,,,
1250,0.89,0.92,0.86,,,,,
