500,0.67,0.7,0.63
500,0.68,0.75,0.6
500,0.66,0.76,0.55
500,0.66,0.79,0.53
500,0.66,0.77,0.56
500,0.66,0.72,0.59
500,0.68,0.76,0.59
500,0.68,0.81,0.55
500,0.66,0.76,0.56
500,0.65,0.74,0.56
500,0.66,0.77,0.55
500,0.68,0.8,0.56
500,0.64,0.73,0.56
500,0.64,0.71,0.57
500,0.67,0.76,0.57
500,0.65,0.73,0.57
500,0.64,0.7,0.57
500,0.65,0.73,0.56
500,0.67,0.77,0.58
500,0.68,0.8,0.57
500,0.68,0.79,0.56
500,0.7,0.79,0.62
500,0.65,0.71,0.58
500,0.63,0.74,0.51
500,0.66,0.78,0.54
500,0.62,0.68,0.56
500,0.65,0.74,0.55
500,0.66,0.7,0.62
500,0.65,0.72,0.56
500,0.67,0.76,0.57
500,0.63,0.74,0.52
500,0.65,0.72,0.57
500,0.68,0.74,0.61
500,0.66,0.76,0.56
500,0.66,0.72,0.59
500,0.69,0.78,0.61
500,0.64,0.74,0.54
500,0.65,0.75,0.56
500,0.67,0.77,0.56
500,0.62,0.7,0.54
500,0.66,0.76,0.56
500,0.65,0.75,0.56
500,0.65,0.76,0.54
500,0.62,0.76,0.49
500,0.67,0.78,0.56
500,0.62,0.72,0.52
500,0.65,0.71,0.59
500,0.65,0.72,0.58
500,0.68,0.76,0.61
500,0.65,0.74,0.56
500,0.64,0.71,0.56
